image_name,label,filepath,label_id
12100.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\12100.jpg,0
9960.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\9960.jpg,0
18916.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\18916.jpg,1
9851.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\9851.jpg,0
1161.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\1161.jpg,0
2161.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2161.jpg,0
23856.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\23856.jpg,1
7740.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\7740.jpg,0
15250.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\15250.jpg,1
10420.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\10420.jpg,0
17842.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\17842.jpg,1
17251.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\17251.jpg,1
21780.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\21780.jpg,1
8955.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8955.jpg,0
22624.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\22624.jpg,1
24598.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\24598.jpg,1
23520.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\23520.jpg,1
3101.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\3101.jpg,0
23410.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\23410.jpg,1
8.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8.jpg,0
11964.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\11964.jpg,0
8966.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8966.jpg,0
15239.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\15239.jpg,1
7702.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\7702.jpg,0
6945.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\6945.jpg,0
9634.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\9634.jpg,0
19647.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\19647.jpg,1
1470.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\1470.jpg,0
7815.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\7815.jpg,0
5930.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\5930.jpg,0
12169.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\12169.jpg,0
4176.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\4176.jpg,0
4850.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\4850.jpg,0
18010.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\18010.jpg,1
13781.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\13781.jpg,1
21605.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\21605.jpg,1
16648.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\16648.jpg,1
10028.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\10028.jpg,0
10607.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\10607.jpg,0
1937.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\1937.jpg,0
10169.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\10169.jpg,0
24462.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\24462.jpg,1
17253.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\17253.jpg,1
16902.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\16902.jpg,1
17392.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\17392.jpg,1
4784.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\4784.jpg,0
3304.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\3304.jpg,0
24132.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\24132.jpg,1
23314.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\23314.jpg,1
18881.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\18881.jpg,1
18184.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\18184.jpg,1
13450.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\13450.jpg,1
9520.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\9520.jpg,0
17527.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\17527.jpg,1
24043.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\24043.jpg,1
19678.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\19678.jpg,1
20583.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\20583.jpg,1
6823.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\6823.jpg,0
12050.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\12050.jpg,0
237.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\237.jpg,0
10203.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\10203.jpg,0
16407.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\16407.jpg,1
13642.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\13642.jpg,1
12794.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\12794.jpg,1
21782.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\21782.jpg,1
5098.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\5098.jpg,0
24777.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\24777.jpg,1
20529.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\20529.jpg,1
23876.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\23876.jpg,1
3902.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\3902.jpg,0
2525.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2525.jpg,0
4021.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\4021.jpg,0
12852.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\12852.jpg,1
930.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\930.jpg,0
22371.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\22371.jpg,1
15909.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\15909.jpg,1
13340.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\13340.jpg,1
12802.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\12802.jpg,1
12274.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\12274.jpg,0
19826.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\19826.jpg,1
716.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\716.jpg,0
15.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\15.jpg,0
22411.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\22411.jpg,1
13756.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\13756.jpg,1
8088.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8088.jpg,0
11224.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\11224.jpg,0
16683.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\16683.jpg,1
14665.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\14665.jpg,1
12529.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\12529.jpg,1
22974.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\22974.jpg,1
15812.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\15812.jpg,1
23176.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\23176.jpg,1
23696.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\23696.jpg,1
14353.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\14353.jpg,1
3648.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\3648.jpg,0
6187.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\6187.jpg,0
5906.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\5906.jpg,0
24285.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\24285.jpg,1
11136.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\11136.jpg,0
10366.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\10366.jpg,0
15522.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\15522.jpg,1
1120.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\1120.jpg,0
14695.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\14695.jpg,1
2531.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2531.jpg,0
1622.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\1622.jpg,0
6438.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\6438.jpg,0
16960.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\16960.jpg,1
559.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\559.jpg,0
9862.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\9862.jpg,0
20751.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\20751.jpg,1
19432.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\19432.jpg,1
2372.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2372.jpg,0
1225.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\1225.jpg,0
5095.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\5095.jpg,0
9806.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\9806.jpg,0
17883.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\17883.jpg,1
1291.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\1291.jpg,0
21446.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\21446.jpg,1
12354.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\12354.jpg,0
3403.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\3403.jpg,0
2545.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2545.jpg,0
16680.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\16680.jpg,1
4792.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\4792.jpg,0
3646.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\3646.jpg,0
23723.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\23723.jpg,1
21375.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\21375.jpg,1
18302.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\18302.jpg,1
20075.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\20075.jpg,1
23391.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\23391.jpg,1
1497.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\1497.jpg,0
20527.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\20527.jpg,1
20590.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\20590.jpg,1
163.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\163.jpg,0
8488.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8488.jpg,0
20024.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\20024.jpg,1
17926.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\17926.jpg,1
13012.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\13012.jpg,1
20265.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\20265.jpg,1
17020.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\17020.jpg,1
23357.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\23357.jpg,1
114.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\114.jpg,0
20900.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\20900.jpg,1
17821.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\17821.jpg,1
4700.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\4700.jpg,0
11389.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\11389.jpg,0
7971.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\7971.jpg,0
4940.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\4940.jpg,0
24674.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\24674.jpg,1
3506.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\3506.jpg,0
19483.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\19483.jpg,1
13719.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\13719.jpg,1
2383.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2383.jpg,0
8304.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8304.jpg,0
3127.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\3127.jpg,0
22116.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\22116.jpg,1
12614.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\12614.jpg,1
8927.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8927.jpg,0
1194.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\1194.jpg,0
13117.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\13117.jpg,1
11756.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\11756.jpg,0
22228.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\22228.jpg,1
20208.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\20208.jpg,1
3880.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\3880.jpg,0
3290.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\3290.jpg,0
22392.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\22392.jpg,1
8384.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8384.jpg,0
2136.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2136.jpg,0
13192.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\13192.jpg,1
9322.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\9322.jpg,0
6900.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\6900.jpg,0
21240.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\21240.jpg,1
19315.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\19315.jpg,1
622.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\622.jpg,0
15588.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\15588.jpg,1
17408.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\17408.jpg,1
10118.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\10118.jpg,0
986.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\986.jpg,0
4660.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\4660.jpg,0
23459.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\23459.jpg,1
2827.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2827.jpg,0
9705.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\9705.jpg,0
22509.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\22509.jpg,1
9286.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\9286.jpg,0
24844.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\24844.jpg,1
13762.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\13762.jpg,1
16679.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\16679.jpg,1
9977.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\9977.jpg,0
22818.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\22818.jpg,1
661.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\661.jpg,0
19775.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\19775.jpg,1
3518.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\3518.jpg,0
8285.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8285.jpg,0
18117.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\18117.jpg,1
15321.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\15321.jpg,1
3670.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\3670.jpg,0
7284.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\7284.jpg,0
12165.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\12165.jpg,0
10299.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\10299.jpg,0
21122.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\21122.jpg,1
9208.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\9208.jpg,0
17674.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\17674.jpg,1
11018.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\11018.jpg,0
19925.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\19925.jpg,1
203.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\203.jpg,0
4203.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\4203.jpg,0
1823.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\1823.jpg,0
816.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\816.jpg,0
15754.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\15754.jpg,1
23028.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\23028.jpg,1
13088.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\13088.jpg,1
6897.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\6897.jpg,0
6156.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\6156.jpg,0
8641.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8641.jpg,0
6218.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\6218.jpg,0
20344.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\20344.jpg,1
8376.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8376.jpg,0
21996.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\21996.jpg,1
17270.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\17270.jpg,1
20259.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\20259.jpg,1
4806.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\4806.jpg,0
13812.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\13812.jpg,1
3498.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\3498.jpg,0
12556.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\12556.jpg,1
14614.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\14614.jpg,1
18428.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\18428.jpg,1
13185.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\13185.jpg,1
13564.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\13564.jpg,1
4517.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\4517.jpg,0
4574.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\4574.jpg,0
2384.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2384.jpg,0
1840.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\1840.jpg,0
21660.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\21660.jpg,1
2505.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2505.jpg,0
22897.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\22897.jpg,1
10426.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\10426.jpg,0
20023.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\20023.jpg,1
17542.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\17542.jpg,1
3602.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\3602.jpg,0
14866.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\14866.jpg,1
8864.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8864.jpg,0
2337.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2337.jpg,0
22103.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\22103.jpg,1
18035.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\18035.jpg,1
22900.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\22900.jpg,1
21867.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\21867.jpg,1
21094.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\21094.jpg,1
14008.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\14008.jpg,1
3508.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\3508.jpg,0
8072.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8072.jpg,0
17068.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\17068.jpg,1
9968.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\9968.jpg,0
2825.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2825.jpg,0
23714.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\23714.jpg,1
23659.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\23659.jpg,1
17960.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\17960.jpg,1
15529.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\15529.jpg,1
17082.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\17082.jpg,1
3520.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\3520.jpg,0
19902.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\19902.jpg,1
12363.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\12363.jpg,0
13426.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\13426.jpg,1
16138.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\16138.jpg,1
5731.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\5731.jpg,0
24942.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\24942.jpg,1
12617.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\12617.jpg,1
19143.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\19143.jpg,1
6053.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\6053.jpg,0
639.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\639.jpg,0
10506.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\10506.jpg,0
2178.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2178.jpg,0
